,book_rank,book_poster,book_name,book_writer,book_rating,book_review,book_price
0,1,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL302_SR302,200_.jpg",My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5,59119,399.00
1,2,"https://images-eu.ssl-images-amazon.com/images/I/91bYsX41DVL._AC_UL302_SR302,200_.jpg",Atomic Habits: The life-changing million copy bestseller,James Clear,4.7,53489,496.00
2,3,"https://images-eu.ssl-images-amazon.com/images/I/81y5CSFOXuL._AC_UL302_SR302,200_.jpg","Amazon Brand - Solimo Long Board Book, Set of 10 (Alphabets, Fruits, Numbers, Vegetables, Words, Animals, Birds, Vehicles, General Knowledge, Nursery Rhymes)",Solimo,4.6,376,
3,4,"https://images-eu.ssl-images-amazon.com/images/I/71g2ednj0JL._AC_UL302_SR302,200_.jpg",The Psychology of Money,Morgan Housel,4.6,43244,245.00
4,5,"https://images-eu.ssl-images-amazon.com/images/I/81l3rZK4lnL._AC_UL302_SR302,200_.jpg",Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6,35661,345.00
5,6,"https://images-eu.ssl-images-amazon.com/images/I/81bsw6fnUiL._AC_UL302_SR302,200_.jpg",Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6,69185,379.00
6,7,"https://images-eu.ssl-images-amazon.com/images/I/71sBtM3Yi5L._AC_UL302_SR302,200_.jpg",The Power of Your Subconscious Mind,Joseph Murphy,4.5,57645,109.00
7,8,"https://images-eu.ssl-images-amazon.com/images/I/81jv44QdNwL._AC_UL302_SR302,200_.jpg","Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty,4.6,15252,162.00
8,9,"https://images-eu.ssl-images-amazon.com/images/I/91+T1TAxkKL._AC_UL302_SR302,200_.jpg",War of Lanka (Ram Chandra Series Book 4),Amish Tripathi,,,407.00
9,10,"https://images-eu.ssl-images-amazon.com/images/I/7175YpTSa7L._AC_UL302_SR302,200_.jpg",Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.5,1220,81.00
10,11,"https://images-eu.ssl-images-amazon.com/images/I/818e+fq7+BL._AC_UL302_SR302,200_.jpg",Word Power Made Easy,Norman Lewis,4.4,41592,121.00
11,12,"https://images-eu.ssl-images-amazon.com/images/I/516teHFu7gL._AC_UL302_SR302,200_.jpg",The Answer Writing Manual for UPSC Civil Services & State PSC Examinations,Srushti Deshmukh Gowda IAS,4.7,375,359.00
12,13,"https://images-eu.ssl-images-amazon.com/images/I/81N7FmJhbhL._AC_UL302_SR302,200_.jpg","Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,4.6,16651,162.00
13,14,"https://images-eu.ssl-images-amazon.com/images/I/71Pl6DkHW4L._AC_UL302_SR302,200_.jpg",28 Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2022) 13th Edition,Mrunal Patel,4.1,78,370.00
14,15,"https://images-eu.ssl-images-amazon.com/images/I/810OOg88LoL._AC_UL302_SR302,200_.jpg",My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4,20146,80.00
15,16,"https://images-eu.ssl-images-amazon.com/images/I/71owQ+uazdL._AC_UL302_SR302,200_.jpg","Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,4.4,4419,183.00
16,17,"https://images-eu.ssl-images-amazon.com/images/I/81+iwx4WZxL._AC_UL302_SR302,200_.jpg","MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,4.5,1582,558.00
17,18,"https://images-eu.ssl-images-amazon.com/images/I/618XGVFYlwL._AC_UL302_SR302,200_.jpg",How to Win Friends and Influence People,Dale Carnegie,4.5,71899,99.00
18,19,"https://images-eu.ssl-images-amazon.com/images/I/71j0FLAauxL._AC_UL302_SR302,200_.jpg",It Ends With Us: A Novel: Volume 1,Colleen Hoover,4.5,127144,309.00
19,20,"https://images-eu.ssl-images-amazon.com/images/I/61nUUn+1F-L._AC_UL302_SR302,200_.jpg",Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,4.5,870,526.00
20,21,"https://images-eu.ssl-images-amazon.com/images/I/61ilt8FWEnL._AC_UL302_SR302,200_.jpg",Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study,Akash Kundur,4.2,353,199.00
21,22,"https://images-eu.ssl-images-amazon.com/images/I/71xWWxjzF7L._AC_UL302_SR302,200_.jpg","My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,4.4,4791,163.00
